,name,Type_x,Class,(A)chondrite,Group_x,Petrologic type,Type_y,Group_y,mass (g),Year,Month,Day,Hour,Locality,Country,continent,latitude,longitude
124,Charwallas,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,12000.0,1834,June,12,800,Haryana,India,Asia,29.4833,75.5
125,Château-Renard,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,30000.0,1841,June,12,1330,Loiret,France,Europe,47.9333,2.9167
126,Chaves,Stone,Howardite,Achondrite,HOW,,Achondrite,Howardite,2945.0,1925,May,3,,,Portugal,Europe,41.9333,-7.4667
127,Chela,Stone,Ordinary,Chondrite,H,5,Chondrite,H4,2936.0,1988,July,12,1140,Kahama district,Tanzania,Africa,-3.6667,32.5
128,Cherokee Springs,Stone,Ordinary,Chondrite,LL,6,Chondrite,LL6,8400.0,1933,July,1,942,South Carolina,USA,North America,35.0333,-81.8833
129,Chervettaz,Stone,Ordinary,Chondrite,L,5,Chondrite,L5,705.0,1901,November,30,1400,Vaud,Switzerland,Europe,46.55,6.8167
130,Chervony Kut,Stone,Eucrite,Achondrite,EUC,,Achondrite,Eucrite-mmict,1700.0,1939,June,23,1300,Sumska Province,Ukraine,Europe,50.8333,34.0
131,Chetrinahatti,Stone,,,,,Unclassified,Stone-uncl,72.0,1880,September,6,2210,Karnataka,India,Asia,14.5,76.5
132,Chiang Khan,Stone,Ordinary,Chondrite,H,5,Chondrite,H6,367.0,1981,November,17,530,,Thailand,Asia,17.9,101.6333
133,Chicora,Stone,Ordinary,Chondrite,LL,6,Chondrite,LL6,303.0,1938,June,24,1800,Pennsylvania,USA,North America,40.9333,-79.7333
134,Chisenga,Iron,Medium octahedrite,,IIIAB,Om,Achondrite,"Iron, IIIAB",3920.0,1988,January,17,afternoon,,Malawi,Africa,-10.0594,33.395
135,Chitado,Stone,Ordinary,Chondrite,H,6,Chondrite,L6,,1966,October,20,,Cunene,Angola,Africa,-17.35,13.9667
136,Chitenay,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,4000.0,1978,February,21,1956,Loir-et-Cher,France,Europe,47.4708,0.9767
137,Calivo,Stone,,Achondrite,,,Unclassified,Stone-uncl,2400.0,1916,May,26,,Panay,Philippines,Asia,11.75,122.3333
138,Cilimus,Stone,Ordinary,Chondrite,L,5,Chondrite,L5,1600.0,1979,May,7,930,Java,Indonesia,Asia,-6.95,108.1
139,Claxton,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,1455.0,1984,December,10,1730,Georgia,USA,North America,32.1025,-81.8728
140,Colby (Wisconsin),Stone,Ordinary,Chondrite,L,6,Chondrite,L6,104000.0,1917,July,4,1820,Wisconsin,USA,North America,44.9,-90.2833
141,Cold Bokkeveld,Stone,Carbonaceous,Chondrite,CM,2,Chondrite,CM2,5200.0,1838,October,13,900,Cape Province,South Africa,Africa,-33.1333,19.3833
142,Coleman,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,469.0,1994,October,20,01:52 local daylight,Michigan,USA,North America,43.7611,-84.5083
143,Collescipoli,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,5000.0,1890,February,3,1330,Umbria,Italy,Europe,42.5333,12.6167
144,Conquista,Stone,Ordinary,Chondrite,H,4,Chondrite,H4,20350.0,1965,December,,600,Minas Gerais,Brazil,South America,-19.85,-47.55
145,Cosina,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,1200.0,1844,January,,1100,Guanajuato,Mexico,North America,21.1667,-100.8667
146,Cranganore,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,1460.0,1917,July,3,1245,Kerala,India,Asia,10.2,76.2667
147,Crescent,Stone,Carbonaceous,Chondrite,CM,2,Chondrite,CM2,78.4,1936,August,17,1907,Oklahoma,USA,North America,35.95,-97.5833
148,Campos Sales,Stone,Ordinary,Chondrite,L,5,Chondrite,L5,23680.0,1991,January,31,22:00 (local time),,Brazil,South America,-7.0333,-40.1667
149,Cronstad,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,3650.0,1877,November,19,1600,Orange Free State,South Africa,Africa,-27.7,27.3
150,Cross Roads,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,167.0,1892,May,24,500,North Carolina,USA,North America,35.6333,-78.1333
151,Crumlin,Stone,Ordinary,Chondrite,L,5,Chondrite,L5,4255.0,1902,September,13,1030,County Antrim,Northern Ireland,Europe,54.6167,-6.2167
152,Cumberland Falls,Stone,Aubrite,Achondrite,AUB,,Achondrite,Aubrite,17000.0,1919,April,9,1200,Kentucky,USA,North America,36.8333,-84.35
153,Çanakkale,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,4000.0,1964,July,,,,Turkey,Asia,39.8,26.6
154,Cynthiana,Stone,Ordinary,Chondrite,L/LL,4,Chondrite,L/LL4,6000.0,1877,January,23,1600,Kentucky,USA,North America,38.4,-84.25
155,Cañellas,Stone,Ordinary,Chondrite,H,4,Chondrite,H4,945.0,1861,May,14,1330,,Spain,Europe,41.25,1.6667
156,Cangas de Onis,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,34000.0,1866,December,6,1100,,Spain,Europe,43.3833,-5.15
157,Canon City,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,1400.0,1973,October,27,approx. 1800,Colorado,USA,North America,38.4703,-105.2414
158,Cabezo de Mayo,Stone,Ordinary,Chondrite,L,6,Chondrite,L/LL6,25000.0,1870,August,18,615,,Spain,Europe,37.9833,-1.1667
159,Cape Girardeau,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,2300.0,1846,August,14,1500,Missouri,USA,North America,37.2667,-89.5833
160,Cabin Creek,Iron,Medium octahedrite,,IIIAB,Om,Achondrite,"Iron, IIIAB",48500.0,1886,March,27,1500,Arkansas,USA,North America,35.5,-93.5
161,Caratash,Stone,Ordinary,Chondrite,LL,6,Chondrite,LL6,8.0,1902,August,22,2000,,Turkey,Asia,38.5,27.0
162,Dolgovoli,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,1600.0,1864,June,26,700,Volynska Province,Ukraine,Europe,50.75,25.3
163,Domanitch,Stone,Ordinary,Chondrite,L,5,Chondrite,L5,438.0,1907,February,1,,,Turkey,Asia,40.0,29.0
164,Donga Kohrod,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,230.0,1899,September,23,1500,Madhya Pradesh,India,Asia,21.8667,82.45
165,Dongtai,Stone,Ordinary,Chondrite,LL,6,Chondrite,LL6,5500.0,1970,January,20,2000,Jiangsu,China,Asia,32.9167,120.7833
166,Dong Ujimqin Qi,Stony-iron,Mesosiderite,,MES,,Achondrite,Mesosiderite,128800.0,1995,September,7,13:35 local time,Inner Mongolia,China,Asia,45.5,119.0333
167,Dosso,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,1250.0,1962,February,19,1230,,Niger,Africa,13.05,3.1667
168,Douar Mghila,Stone,Ordinary,Chondrite,LL,6,Chondrite,LL6,1161.0,1932,August,20,1500,,Morocco,Africa,32.3333,-6.3
169,Dowa,Stone,,,,,Unclassified,Stone-uncl,642.0,1976,March,25,1300,Central province,Malawi,Africa,-13.6667,33.9167
170,Dresden (Ontario),Stone,Ordinary,Chondrite,H,6,Chondrite,H6,47700.0,1939,June,11,2056,Ontario,Canada,North America,42.52,-82.26
171,Dubrovnik,Stone,Ordinary,Chondrite,L,3-6,Chondrite,L3-6,1900.0,1951,February,20,1400,Dalmatia,Croatia,Europe,42.4583,18.4417
172,Dunbogan,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,30.0,1999,December,14,,New South Wales,Australia,Oceania,-31.6667,152.8333
173,Dundrum,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,2270.0,1865,August,12,1900,County Tipperary,Ireland,Europe,52.55,-8.0333
174,Dunhua,Stone,,,,,Unclassified,Stone-uncl,,1976,July,9,,Jilin,China,Asia,43.3333,128.25
175,Duruma,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,577.0,1853,March,6,,,Kenya,Africa,-4.0,39.5
176,Duwun,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,2117.0,1943,November,23,1547,Choeure-namdo,Korea,Antarctica,33.4333,127.2667
177,Dwaleni,Stone,Ordinary,Chondrite,H,6,Chondrite,H4-6,3230.0,1970,October,12,1030,,Swaziland,Africa,-27.2,31.3167
178,Dyalpur,Stone,Ureilite,Achondrite,URE,,Primitive Achondrite,Ureilite,300.0,1872,May,8,,Uttar Pradesh,India,Asia,26.25,82.0
179,Dyarrl Island,Stony-iron,Mesosiderite,,MES,,Achondrite,Mesosiderite-A1,188.0,1933,January,31,1630,,Papua-New Guinea,Oceania,-3.0,151.0
180,Dandapur,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,5650.0,1878,September,5,1700,Uttar Pradesh,India,Asia,26.9167,83.9667
181,Daniel's Kuil,Stone,Enstatite,Chondrite,EL,6,Chondrite,EL6,1064.0,1868,March,20,,Cape Province,South Africa,Africa,-28.2,24.5667
182,Danville,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,2000.0,1868,November,27,1700,Alabama,USA,North America,34.4,-87.0667
183,Dashoguz,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,7000.0,1998,September,5,,,Turkmenistan,Asia,41.9844,59.685
184,De Cewsville,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,340.0,1887,January,21,1400,Ontario,Canada,North America,43.0,-80.0
185,Delhi,Stone,Ordinary,Chondrite,L,,Chondrite,L5,0.8,1897,October,18,1930,Delhi state,India,Asia,28.5667,77.25
186,Demina,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,16400.0,1911,September,6,1530,Altai Republic,Russia,Europe,51.4667,84.7667
187,Denver,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,230.0,1967,July,42309,,Colorado,USA,North America,39.7825,-104.9306
188,Dergaon,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,12500.0,2001,March,2,1640 (local time),Assam,India,Asia,26.6833,93.8667
189,Dahmani,Stone,Ordinary,Chondrite,LL,6,Chondrite,LL6,18000.0,1981,May,,,,Tunisia,Africa,35.6167,8.8333
190,Desuri,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,25400.0,1962,July,18,,Rajasthan,India,Asia,25.7333,73.6167
191,Devri-Khera,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,1140.0,1994,October,30,2100 (local time),Rajasthan,India,Asia,24.225,76.525
192,Dhajala,Stone,Ordinary,Chondrite,H,3,Chondrite,H3.8,45000.0,1976,January,28,2100,Gujarat,India,Asia,22.3778,71.4272
193,Dharwar,Stone,,Chondrite,,,Chondrite,OC,1800.0,1848,February,15,1300,Karnataka,India,Asia,14.8833,75.6
194,Dhurmsala,Stone,Ordinary,Chondrite,LL,6,Chondrite,LL6,32000.0,1860,July,14,1415,Himachal Pradesh,India,Asia,32.2333,76.4667
195,Diep River,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,1000.0,1906,November,4,1630,Cape Province,South Africa,Africa,-33.75,18.5667
196,Distrito Quebracho,Stone,Ordinary,Chondrite,H,4,Chondrite,H4,400.0,1957,March,13,2000,Entre Rios,Argentina,South America,-31.8833,-60.4667
197,Djati-Pengilon,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,166000.0,1884,March,19,1630,Java,Indonesia,Asia,-7.5,111.5
198,Djermaia,Stone,Ordinary,Chondrite,H,,Chondrite,H,3950.0,1961,February,25,,,Chad,Africa,12.7333,15.05
199,Dokachi,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,3840.0,1903,October,22,1900,Dacca,Bangladesh,Asia,23.5,90.3333
200,Enshi,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,8000.0,1974,December,26,1530,Hubei,China,Asia,30.3,109.5
201,Erakot,Stone,Carbonaceous,Chondrite,CM,2,Chondrite,CM2,113.0,1940,June,22,1700,Madhya Pradesh,India,Asia,19.0333,81.8917
202,Ergheo,Stone,Ordinary,Chondrite,L,5,Chondrite,L5,20000.0,1889,July,,,,Somalia,Africa,1.1667,44.1667
203,Esnandes,Stone,Ordinary,Chondrite,H,6,Chondrite,L6,1500.0,1837,August,,,Charente Maritime,France,Europe,46.25,-1.1
204,Essebi,Stone,Carbonaceous,Chondrite,CM,2,Chondrite,C2-ung,500.0,1957,July,28,720,,Congo,Africa,2.8833,30.8333
205,Estherville,Stony-iron,Mesosiderite,,MES,,Achondrite,Mesosiderite-A3/4,320000.0,1879,May,10,1700,Iowa,USA,North America,43.4167,-94.8333
206,Ehole,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,2400.0,1961,August,31,1645,Cunene,Angola,Africa,-17.3,15.8333
207,Ekeby,Stone,Ordinary,Chondrite,H,4,Chondrite,H4,3336.0,1939,April,5,612,,Sweden,Europe,56.0333,13.0
208,Ekh Khera,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,840.0,1916,April,5,230,Uttar Pradesh,India,Asia,28.2667,78.7833
209,Elenovka,Stone,Ordinary,Chondrite,L,5,Chondrite,L5,54640.0,1951,October,17,1630,Donetsk Province,Ukraine,Europe,47.8333,37.6667
210,El Idrissia,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,10000.0,1998,March,10,,Djelfa,Algeria,Africa,34.4167,3.25
211,Ellemeet,Stone,Diogenite,Achondrite,DIO,,Achondrite,Diogenite,1470.0,1925,August,28,1130,Zeeland,Netherlands,Europe,51.75,4.0
