,Name,_id,MetCat key,Type,Class,(A)chondrite,Group,Petrologic type,Recovered weight,Year,Month,Day,Hour,Locality,Country,Decimal latitude,Decimal longitude,Verbatim latitude,Verbatim longitude,Present in NHM collection,NHM specimen data
13695,Mocs,40170,M2490,Stone,Ordinary,Chondrite,L,6,300 kg,1882,February,3,1600,Transylvania,Romania,46.8,24.0333,46° 48' N,24° 2' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM2490%7CscientificName%3AMocs
13697,Modoc (1905),40172,M2530,Stone,Ordinary,Chondrite,L,6,15.9 kg,1905,September,2,2130,Kansas,USA,38.5,-101.1,38° 30' N,101° 6' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM2530%7CscientificName%3AModoc%20%281905%29
13700,Mokoia,40175,M2600,Stone,Carbonaceous,Chondrite,CV,3,4.54 kg,1908,November,26,1230,North Island,New Zealand,-39.6333,174.4,39° 38' S,174° 24' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM2600%7CscientificName%3AMokoia
13702,Molina,40177,M2610,Stone,Ordinary,Chondrite,H,5,144 kg,1858,December,24,,,Spain,38.1167,-1.1667,38° 7' N,1° 10' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM2610%7CscientificName%3AMolina
13704,Molteno,40179,M2630,Stone,Howardite,Achondrite,HOW,,140 g,1953,April or May,,1700,Cape Province,South Africa,-31.25,26.4667,31° 15' S,26° 28' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM2630%7CscientificName%3AMolteno
13706,Monahans (1998),40181,M2655,Stone,Ordinary,Chondrite,H,5,2587 g,1998,22,March,1848 CST,Texas,USA,31.6083,-102.8583,31° 36' 30'' N,102° 51' 30'' W,,
13707,Monroe,40182,M2690,Stone,Ordinary,Chondrite,H,4,8.6 kg,1849,October,31,1500,North Carolina,USA,35.25,-80.5,35° 15' N,80° 30' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM2690%7CscientificName%3AMonroe
13733,Monte das Fortes,40208,M2750,Stone,Ordinary,Chondrite,L,5,4885 g,1950,August,23,late afternoon,,Portugal,38.0167,-8.25,38° 1' N,8° 15' W,,
13734,Monte Milone,40209,M2760,Stone,Ordinary,Chondrite,L,5,,1846,May,8,915,Marche,Italy,43.2667,13.35,43° 16' N,13° 21' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM2760%7CscientificName%3AMonte%20Milone
13735,Montferré,40210,M2770,Stone,Ordinary,Chondrite,H,5,149 kg,1923,,,,Aude,France,43.3906,1.9625,43° 23' 26'' N,1° 57' 45'' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM2770%7CscientificName%3AMontferr%C3%A9
13737,Montlivault,40212,M2790,Stone,Ordinary,Chondrite,L,6,500 g,1838,July,22,,Loir-et-Cher,France,47.6333,1.5833,47° 38' N,1° 35' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM2790%7CscientificName%3AMontlivault
13847,Monze,40322,M2840,Stone,Ordinary,Chondrite,L,6,,1950,October,5,410,Southern Province,Zambia,-15.9667,27.35,15° 58' S,27° 21' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM2840%7CscientificName%3AMonze
13850,Moore County,40325,M2920,Stone,Eucrite,Achondrite,EUC,,1.9 kg,1913,April,21,1700,North Carolina,USA,35.4167,-79.3833,35° 25' N,79° 23' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM2920%7CscientificName%3AMoore%20County
13852,Moorleah,40327,M2950,Stone,Ordinary,Chondrite,L,6,8887.5 g,1930,October,,1830,Tasmania,Australia,-40.975,145.6,40° 58.5' S,145° 36' E,,
13855,Magnesia,40330,M300,Iron,Medium octahedrite,,IIICD,Om,,1899,,,,,Turkey,37.8667,27.5167,37° 52' N,27° 31' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM300%7CscientificName%3AMagnesia
