,Name,_id,MetCat key,Type,Class,(A)chondrite,Group,Petrologic type,Recovered weight,Year,Month,Day,Hour,Locality,Country,Decimal latitude,Decimal longitude,Verbatim latitude,Verbatim longitude,Present in NHM collection,NHM specimen data
18943,Rowton,45418,R1340,Iron,Medium octahedrite,,IIIAB,Om,3.5 kg,1876,April,20,1545,Shropshire,England,52.7667,-2.5167,52° 46' N,2° 31' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AR1340%7CscientificName%3ARowton
18951,Ruhobobo,45426,R1410,Stone,Ordinary,Chondrite,L,6,465.5 g,1976,October,13,1630,Ruhengeri Prefecture,Rwanda,-1.45,29.8333,1° 27' S,29° 50' E,,
18953,Rumuruti,45428,R1425,Stone,Rumurutiite,Chondrite,R,3-6,67 g,1934,January,28,2245,,Kenya,0.2667,36.5333,0° 16' N,36° 32' E,,
18954,Rupota,45429,R1440,Stone,Ordinary,Chondrite,L,4,6 kg,1949,February,7,1200,,Tanzania,-10.2667,38.7667,10° 16' S,38° 46' E,,
18960,Rampurhat,45435,R150,Stone,Ordinary,Chondrite,LL,,100 g,1916,November,21,930,West Bengal,India,24.1667,87.7667,24° 10' N,87° 46' E,,
18962,Ryechki,45437,R1530,Stone,Ordinary,Chondrite,L,5,13 kg,1914,April,9,1330,Sumska Province,Ukraine,51.1333,34.5,51° 8' N,34° 30' E,,
18963,Ramsdorf,45438,R160,Stone,Ordinary,Chondrite,L,6,4682 g,1958,July,26,1830,Nordrhein-Westfalen,Germany,51.8833,6.9333,51° 53' N,6° 56' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AR160%7CscientificName%3ARamsdorf
18964,Ranchapur,45439,R180,Stone,Ordinary,Chondrite,H,4,290.4 g,1917,February,20,830,Bihar,India,23.9833,87.0833,23° 59' N,87° 5' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AR180%7CscientificName%3ARanchapur
18966,Raco,45441,R20,Stone,Ordinary,Chondrite,H,5,5 kg,1957,November,17,,Tucuman,Argentina,-26.6667,-65.45,26° 40' S,65° 27' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AR20%7CscientificName%3ARaco
18968,Rancho de la Presa,45443,R220,Stone,Ordinary,Chondrite,H,5,300 g,1899,,,,Michoacan,Mexico,19.8667,-100.8167,19° 52' N,100° 49' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AR220%7CscientificName%3ARancho%20de%20la%20Presa
18970,Rangala,45445,R250,Stone,Ordinary,Chondrite,L,6,3224.5 g,1937,December,29,1000,Rajasthan,India,25.3833,72.0167,25° 23' N,72° 1' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AR250%7CscientificName%3ARangala
18972,Raoyang,45447,R264,Stone,Ordinary,Chondrite,L,6,4910 g,1919,,,1700,Hebei,China,38.3,115.8167,38° 18' N,115° 49' E,,
18974,Ras Tanura,45449,R290,Stone,Ordinary,Chondrite,H,6,6.1 g,1961,February,23,1142,,Saudi Arabia,26.6667,50.15,26° 40' N,50° 9' E,,
18976,Ratyn,45451,R350,Stone,,,,,0.9 kg,1880,August,24,between 1400 and 150,,Poland,52.2,17.9833,52° 12' N,17° 59' E,,
19133,Raghunathpura,45608,R53,Iron,Hexahedrite,,IIAB,H,10.2 kg,1986,November,20,2000,Rajasthan,India,27.7253,76.465,27° 43' 31'' N,76° 27' 54'' E,,
19163,Reliegos,45638,R550,Stone,Ordinary,Chondrite,L,5,17.3 kg,1947,December,28,800,,Spain,42.475,-5.3333,42° 28' 30'' N,5° 20' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AR550%7CscientificName%3AReliegos
19164,Rembang,45639,R560,Iron,Fine octahedrite,,IVA,Of,10 kg,1919,August,30,,Java,Indonesia,-6.7333,111.3667,6° 44' S,111° 22' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AR560%7CscientificName%3ARembang
19166,Renca,45641,R580,Stone,Ordinary,Chondrite,L,5,300 g,1925,June,20,1500,San Luis,Argentina,-32.75,-65.2833,32° 45' S,65° 17' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AR580%7CscientificName%3ARenca
19168,Renqiu,45643,R590,Stone,Ordinary,Chondrite,L,6,355 g,1916,March,23,1200,Hebei,China,38.6667,116.1333,38° 40' N,116° 8' E,,
19170,Repeev Khutor,45645,R610,Iron,Plessitic octahedrite,,IIF,Opl,7 kg,1933,August,8,2000,Astrakhan Province,Russia,48.6,45.6667,48° 36' N,45° 40' E,,
19172,Revelstoke,45647,R670,Stone,Carbonaceous,Chondrite,CI,1,1 g,1965,March,31,2147,British Columbia,Canada,51.3333,-118.95,51° 20' N,118° 57' W,,
19173,Rewari,45648,R692,Stone,Ordinary,Chondrite,L,6,3332 g,1929,July,,,Haryana,India,28.2,76.6667,28° 12' N,76° 40' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AR692%7CscientificName%3ARewari
19179,Richardton,45654,R740,Stone,Ordinary,Chondrite,H,5,90 kg,1918,June,30,2200,North Dakota,USA,46.8833,-102.3167,46° 53' N,102° 19' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AR740%7CscientificName%3ARichardton
19182,Richland Springs,45657,R755,Stone,,Chondrite,,,1.1 kg,1980,September,20,2130,Texas,USA,31.25,-99.0333,31° 15' N,99° 2' W,,
19184,Rich Mountain,45659,R770,Stone,Ordinary,Chondrite,L,6,668 g,1903,June,30,1400,North Carolina,USA,33.2833,-85.1667,33° 17' N,85° 10' W,,
19192,Rio Negro,45667,R890,Stone,Ordinary,Chondrite,L,4,1310 g,1934,September,21,2030,Parana,Brazil,-26.1,-49.8,26° 6' S,49° 48' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AR890%7CscientificName%3ARio%20Negro
19198,Rochester,45673,R990,Stone,Ordinary,Chondrite,H,6,340 g,1876,December,21,2045,Indiana,USA,41.0833,-86.2833,41° 5' N,86° 17' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AR990%7CscientificName%3ARochester
19199,Sabetmahet,45674,S10,Stone,,Chondrite,,,1.3 kg,1855,August,16,evening,Uttar Pradesh,India,27.4333,82.0833,27° 26' N,82° 5' E,,
19202,San Pedro de Quiles,45677,S1035,Stone,Ordinary,Chondrite,L,6,282 g,1956,,,1830,Coquimbo,Chile,-31.0167,-71.4,31° 1' S,71° 24' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS1035%7CscientificName%3ASan%20Pedro%20de%20Quiles
19206,Santa Barbara,45681,S1080,Stone,Ordinary,Chondrite,L,4,400 g,1873,September,26,,Rio Grande do Sul,Brazil,-29.2,-51.8667,29° 12' S,51° 52' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS1080%7CscientificName%3ASanta%20Barbara
19207,St. Caprais-de-Quinsac,45682,S110,Stone,Ordinary,Chondrite,L,6,288.5 g,1883,January,28,1445,Gironde,France,44.75,0.05,44° 45' N,0° 3' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS110%7CscientificName%3ASt.%20Caprais-de-Quinsac
19210,Santa Cruz,45685,S1120,Stone,Carbonaceous,Chondrite,CM,2,,1939,September,3,1200,Tamaulipas,Mexico,24.1667,-99.3333,24° 10' N,99° 20' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS1120%7CscientificName%3ASanta%20Cruz
19211,Santa Isabel,45686,S1160,Stone,Ordinary,Chondrite,L,6,5.5 kg,1924,November,18,930,Santa Fe,Argentina,-33.9,-61.7,33° 54' S,61° 42' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS1160%7CscientificName%3ASanta%20Isabel
19213,St.-Chinian,45688,S120,Stone,Ordinary,Chondrite,L,6,134.3 g,1959,December,25,1530,Herault,France,43.4333,2.95,43° 26' N,2° 57' E,,
19218,São Jose do Rio Preto,45693,S1280,Stone,Ordinary,Chondrite,H,4,927 g,1962,August,14,800,São Paulo,Brazil,-20.81,-49.3806,20° 48' 36'' S,49° 22' 50'' W,,
19223,Saratov,45698,S1370,Stone,Ordinary,Chondrite,L,4,328 kg,1918,September,6,1500,Saratov Province,Russia,52.55,46.55,52° 33' N,46° 33' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS1370%7CscientificName%3ASaratov
19224,St. Christophe-la-Chartreuse,45699,S140,Stone,Ordinary,Chondrite,L,6,5.5 kg,1841,November,5,evening,Vendée,France,46.95,-1.5,46° 57' N,1° 30' W,,
19236,Sauguis,45711,S1490,Stone,Ordinary,Chondrite,L,6,2-4 kg,1868,September,7,230,Basses-Pyrénées,France,43.15,-0.85,43° 9' N,0° 51' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS1490%7CscientificName%3ASauguis
19238,Savtschenskoje,45713,S1570,Stone,Ordinary,Chondrite,LL,4,2.5 kg,1894,July,27,2000,Odessa Province,Ukraine,47.2167,29.8667,47° 13' N,29° 52' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS1570%7CscientificName%3ASavtschenskoje
19239,Sayama,45714,S1625,Stone,Carbonaceous,Chondrite,CM,2,430 g,1986,April,29,,,Japan,35.8667,139.4,35° 52' N,139° 24' E,,
19335,Sazovice,45810,S1630,Stone,Ordinary,Chondrite,L,5,411.98 g,1934,June,28,2000,Moravia,Czech Republic,49.2333,17.5667,49° 14' N,17° 34' E,,
19338,Schenectady,45813,S1690,Stone,Ordinary,Chondrite,H,4,283.3 g,1968,April,12,2030,New York,USA,42.8608,-73.9503,42° 51' 39'' N,73° 57' 1'' W,,
19339,St. Denis Westrem,45814,S170,Stone,Ordinary,Chondrite,L,6,700 g,1855,June,7,1945,,Belgium,51.05,3.75,51° 3' N,3° 45' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS170%7CscientificName%3ASt.%20Denis%20Westrem
19342,Schönenberg,45817,S1790,Stone,Ordinary,Chondrite,L,6,8 kg,1846,December,25,1400,Bayern,Germany,48.1167,10.4667,48° 7' N,10° 28' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS1790%7CscientificName%3ASch%C3%B6nenberg
19351,Searsmont,45826,S1890,Stone,Ordinary,Chondrite,H,5,1 kg,1871,May,21,815,Maine,USA,44.3667,-69.2,44° 22' N,69° 12' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS1890%7CscientificName%3ASearsmont
19355,Ste. Marguerite,45830,S190,Stone,Ordinary,Chondrite,H,4,4.95 kg,1962,June,8,,Nord,France,50.7667,3.0,50° 46' N,3° 0' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS190%7CscientificName%3ASte.%20Marguerite
19356,Sediköy,45831,S1930,Stone,Ordinary,Chondrite,L,6,240 g,1917,,,,,Turkey,38.3,27.1333,38° 18' N,27° 8' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS1930%7CscientificName%3ASedik%C3%B6y
19360,Segowlie,45835,S1970,Stone,Ordinary,Chondrite,L,6,,1853,March,4,1200,Bihar,India,26.75,84.7833,26° 45' N,84° 47' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS1970%7CscientificName%3ASegowlie
19365,Selakopi,45840,S2025,Stone,Ordinary,Chondrite,H,5,1590 g,1939,September,26,,Java,Indonesia,-7.2333,107.3333,7° 14' S,107° 20' E,,
19367,Seldebourak,45842,S2040,Stone,Ordinary,Chondrite,H,5,150 g,1947,February,26,1545,,Algeria,22.8333,4.9833,22° 50' N,4° 59' E,,
19371,Semarkona,45846,S2080,Stone,Ordinary,Chondrite,LL,3,691 g,1940,October,26,,Madhya Pradesh,India,22.25,79.0,22° 15' N,79° E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS2080%7CscientificName%3ASemarkona
19379,Senboku,45854,S2115,Stone,Ordinary,Chondrite,H,6,866 g,1993,,,,Honshu,Japan,39.4383,140.5117,39° 26' 18'' N,140° 30' 42'' E,,
19383,Seoni,45858,S2180,Stone,Ordinary,Chondrite,H,6,21 kg,1966,January,16,1445,Madhya Pradesh,India,21.6839,79.5008,21° 41' 02'' N,79° 30' 3'' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS2180%7CscientificName%3ASeoni
19386,Serra de Magé,45861,S2210,Stone,Eucrite,Achondrite,EUC,,,1923,October,1,1100,Pernambuco,Brazil,-8.3833,-36.7667,8° 23' S,36° 46' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS2210%7CscientificName%3ASerra%20de%20Mag%C3%A9
19388,Sete Lagoas,45863,S2240,Stone,Ordinary,Chondrite,H,4,63 g,1908,December,15,,Minas Gerais,Brazil,-19.4667,-44.2167,19° 28' S,44° 13' W,,
19392,Sevilla,45867,S2280,Stone,Ordinary,Chondrite,LL,4-6,100 g,1862,November,1,,,Spain,37.4167,-6.0,37° 25' N,6° 0' W,,
19393,Sevrukovo,45868,S2300,Stone,Ordinary,Chondrite,L,5,101 kg,1874,May,11,2345,Belgorod Province,Russia,50.6167,36.6,50° 37' N,36° 36' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS2300%7CscientificName%3ASevrukovo
19396,Sfax,45871,S2355,Stone,Ordinary,Chondrite,L,6,,1989,October,16,930,,Tunisia,34.75,10.7167,34° 45' N,10° 43' E,,
19398,St. Germain-du-Pinel,45873,S240,Stone,Ordinary,Chondrite,H,6,4 kg,1890,July,4,1530,Ille-et-Vilaine,France,48.0167,-1.15,48° 1' N,1° 9' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS240%7CscientificName%3ASt.%20Germain-du-Pinel
19399,Shalka,45874,S2410,Stone,Diogenite,Achondrite,DIO,,3.6 kg,1850,November,30,,West Bengal,India,23.1,87.3,23° 6' N,87° 18' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS2410%7CscientificName%3AShalka
19404,Sharps,45879,S2440,Stone,Ordinary,Chondrite,H,3,1265 g,1921,April,1,,Virginia,USA,37.8333,-76.7,37° 50' N,76° 42' W,,
19408,Shelburne,45883,S2480,Stone,Ordinary,Chondrite,L,5,18.6 kg,1904,August,13,2000,Ontario,Canada,44.05,-80.1667,44° 3' N,80° 10' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS2480%7CscientificName%3AShelburne
19409,Shergotty,45884,S2490,Stone,Shergottite,Achondrite,SNC,,5 kg,1865,August,25,900,Bihar,India,24.55,84.8333,24° 33' N,84° 50' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS2490%7CscientificName%3AShergotty
19410,Sheyang,45885,S2516,Stone,Ordinary,Chondrite,L,6,605 g,1976,July,11,1330,Jiangsu,China,33.65,120.0667,33° 39' N,120° 4' E,,
19413,Shikarpur,45888,S2540,Stone,Ordinary,Chondrite,L,6,3679.7 g,1921,August,9,900,Bihar,India,25.85,87.5775,25° 51' N,87° 34' 39'' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS2540%7CscientificName%3AShikarpur
19426,Shuangyang,45901,S2645,Stone,Ordinary,Chondrite,H,5,3.9 kg,1971,May,25,1500,Jilin,China,43.5,125.6667,43° 30' N,125° 40' E,,
19427,Shupiyan,45902,S2650,Stone,Ordinary,Chondrite,H,6,5 kg,1912,April,,,Kashmir,India,33.7167,74.8333,33° 43' N,74° 50' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS2650%7CscientificName%3AShupiyan
19428,Shytal,45903,S2660,Stone,Ordinary,Chondrite,L,6,3.2 kg,1863,August,11,1200,Tangail,Bangladesh,24.3333,90.1667,24° 20' N,90° 10' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS2660%7CscientificName%3AShytal
19434,St. Louis,45909,S280,Stone,Ordinary,Chondrite,H,4,1 kg,1950,December,10,2307,Missouri,USA,38.7,-90.2333,38° 42' N,90° 14' W,,
19438,St. Mark's,45913,S290,Stone,Enstatite,Chondrite,EH,5,13.78 kg,1903,January,3,2300,Cape Province,South Africa,-32.0167,27.4167,32° 1' S,27° 25' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS290%7CscientificName%3ASt.%20Mark%27s
19439,Sikhote-Alin,45914,S2910,Iron,Coarsest octahedrite,,IIAB,Ogg,27 t,1947,February,12,1038,Maritime Territory,Russia,46.16,134.6533,46° 9' 36'' N,134° 39' 12'' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS2910%7CscientificName%3ASikhote-Alin
19440,Silao,45915,S2935,Stone,Ordinary,Chondrite,H,5,1710 g,1995,March,12,830,Guanajuato,Mexico,20.9333,-101.3833,20° 56' N,101° 23' W,,
19448,St. Mary's County,45923,S300,Stone,Ordinary,Chondrite,LL,3,24.25 g,1919,June,20,1800,Maryland,USA,38.1667,-76.3833,38° 10' N,76° 23' W,,
19450,Simmern,45925,S3030,Stone,Ordinary,Chondrite,H,6,1222 g,1920,July,1,915,Rheinland-Pfalz,Germany,49.9833,7.5333,49° 59' N,7° 32' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS3030%7CscientificName%3ASimmern
19453,Sinai,45928,S3060,Stone,Ordinary,Chondrite,L,6,1455 g,1916,July,14-17,1430,,Egypt,30.9,32.4833,30° 54' N,32° 29' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS3060%7CscientificName%3ASinai
19458,Sindhri,45933,S3080,Stone,Ordinary,Chondrite,H,5,8.4 kg,1901,June,10,2300,Sind,Pakistan,26.2167,69.55,26° 13' N,69° 33' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS3080%7CscientificName%3ASindhri
19460,St. Mesmin,45935,S310,Stone,Ordinary,Chondrite,LL,6,8.3 kg,1866,May,30,1545,Aube,France,48.45,3.9333,48° 27' N,3° 56' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS310%7CscientificName%3ASt.%20Mesmin
19461,Sinnai,45936,S3110,Stone,Ordinary,Chondrite,H,6,2 kg,1956,February,19,early morning,Sardinia,Italy,39.3,9.2,39° 18' N,9° 12' E,,
19462,Sioux County,45937,S3120,Stone,Eucrite,Achondrite,EUC,,4.1 kg,1933,August,8,1030,Nebraska,USA,42.5833,-103.6667,42° 35' N,103° 40' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS3120%7CscientificName%3ASioux%20County
19464,Sitathali,45939,S3180,Stone,Ordinary,Chondrite,H,5,1.6 kg,1875,March,4,1100,Madhya Pradesh,India,20.9167,82.5833,20° 55' N,82° 35' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS3180%7CscientificName%3ASitathali
19466,Sixiangkou,45941,S3186,Stone,Ordinary,Chondrite,L,6,630 g,1989,August,15,2153,Jiangsu,China,32.4333,119.8667,32° 26' N,119° 52' E,,
19467,St. Michel,45942,S320,Stone,Ordinary,Chondrite,L,6,17 kg,1910,July,12,1925,,Finland,61.65,27.2,61° 39' N,27° 12' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS320%7CscientificName%3ASt.%20Michel
19469,Ski,45944,S3220,Stone,Ordinary,Chondrite,L,6,850 g,1848,December,27,evening,,Norway,59.7333,10.8667,59° 44' N,10° 52' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS3220%7CscientificName%3ASki
19474,Slavetic,45949,S3280,Stone,Ordinary,Chondrite,H,4,1708 g,1868,May,22,1030,,Croatia,45.6833,15.6,45° 41' N,15° 36' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS3280%7CscientificName%3ASlavetic
19508,Soheria,45983,S3440,Stone,,Chondrite,,,72.9 g,1960,January,8,200,Bihar,India,27.1333,84.0667,27° 8' N,84° 4' E,,
19509,Soko-Banja,45984,S3450,Stone,Ordinary,Chondrite,LL,4,80 kg,1877,October,13,1400,Serbia,Yugoslavia,43.6667,21.8667,43° 40' N,21° 52' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS3450%7CscientificName%3ASoko-Banja
19511,Sologne,45986,S3458,Stone,Ordinary,Chondrite,H,5,54 g,1860,,,,Centre,France,47.3667,1.7333,47° 22' N,1° 44' E,,
19515,Sone,45990,S3490,Stone,Ordinary,Chondrite,H,,17 kg,1866,June,7,1200,Honshu,Japan,35.1667,135.3333,35° 10' N,135° 20' E,,
19516,Songyuan,45991,S3495,Stone,Ordinary,Chondrite,L,6,37 kg,1993,August,15,1430-1500 (local time),Jilin Province,China,45.25,125.0,45° 15' N,125° 0' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS3495%7CscientificName%3ASongyuan
19517,Sabrum,45992,S35,Stone,Ordinary,Chondrite,LL,6,478 g,1999,April,30,,Tripura,India,23.0833,91.6667,23° 5' N,91° 40' E,,
19520,Sopot,45995,S3530,Stone,,Chondrite,,,958 g,1927,April,27,0000-0100,,Romania,44.4167,23.5,44° 25' N,23° 30' E,,
19521,St-Robert,45996,S355,Stone,Ordinary,Chondrite,H,5,25.4 kg,1994,June,14,20:02 local time (00,Québec,Canada,45.9333,-72.975,45° 56' N,72° 58' 30'' W,,
19522,Soroti,45997,S3550,Iron,Finest octahedrite,,UNGR,Off,2050 g,1945,September,17,,,Uganda,1.7,33.6333,1° 42' N,33° 38' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS3550%7CscientificName%3ASoroti
19525,Saint-Sauveur,46000,S360,Stone,Enstatite,Chondrite,EH,5,14 kg,1914,July,10,1400-1500,Haute Garonne,France,43.7333,1.3833,43° 44' N,1° 23' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS360%7CscientificName%3ASaint-Sauveur
19534,Saint-Séverin,46009,S370,Stone,Ordinary,Chondrite,LL,6,271 kg,1966,June,27,1540,Charente,France,45.3,0.2333,45° 18' N,0° 14' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS370%7CscientificName%3ASaint-S%C3%A9verin
19540,Sakauchi,46015,S380,Iron,Hexahedrite,,,H,4.18 kg,1913,April,13,,Honshu,Japan,35.6667,136.3,35° 40' N,136° 18' E,,
19547,Ställdalen,46022,S3870,Stone,Ordinary,Chondrite,H,5,34 kg,1876,June,28,2330,Örebro,Sweden,59.9333,14.95,59° 56' N,14° 57' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS3870%7CscientificName%3ASt%C3%A4lldalen
19551,Stavropol,46026,S3970,Stone,Ordinary,Chondrite,L,6,1.5 kg,1857,March,24,1700,Stavrapol Territory,Russia,45.05,41.9833,45° 3' N,41° 59' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS3970%7CscientificName%3AStavropol
19556,Sterlitamak,46031,S4022,Iron,Medium octahedrite,,IIIAB,Om,10 kg,1990,May,17,2320,Bashkir Republic,Russia,53.6667,55.9833,53° 40' N,55° 59' E,,
19561,Stratford,46036,S4100,Stone,Ordinary,Chondrite,L,6,50 g,1974,May,27,1600,Connecticut,USA,41.2,-73.1333,41° 12' N,73° 8' W,,
19562,Strathmore,46037,S4110,Stone,Ordinary,Chondrite,L,6,13.3 kg,1917,December,3,1315,Perthshire,Scotland,56.5833,-3.25,56° 35' N,3° 15' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS4110%7CscientificName%3AStrathmore
