,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),year,month,latitude_decimal,longitude_decimal
123,2020-07-12 07:50:32,48.7S,74.0E,29.4,18.3,-5.0,-13.0,-11.9,75000000000.0,0.23,2020,7,-48.7,74.0
124,2020-05-27 17:30:18,40.8N,41.7E,29.3,14.9,-6.0,-7.3,-11.5,57000000000.0,0.18,2020,5,40.8,41.7
125,2020-05-18 01:11:09,38.7S,77.2E,25.0,,,,,162000000000.0,0.46,2020,5,-38.7,77.2
126,2020-05-12 23:22:56,15.9N,174.2E,,,,,,83000000000.0,0.26,2020,5,15.9,174.2
127,2020-05-09 09:37:15,7.2N,44.2W,52.5,,,,,41000000000.0,0.14,2020,5,7.2,-44.2
128,2020-05-09 02:56:11,44.8N,131.0W,31.2,14.5,-13.0,-4.0,-5.0,41000000000.0,0.14,2020,5,44.8,-131.0
129,2020-04-28 05:43:17,20.1N,109.4W,,,,,,21000000000.0,0.076,2020,4,20.1,-109.4
130,2020-04-18 13:08:38,12.5N,49.8W,,,,,,27000000000.0,0.095,2020,4,12.5,-49.8
131,2020-04-14 11:11:16,65.6S,45.6W,,,,,,20000000000.0,0.073,2020,4,-65.6,-45.6
132,2020-03-26 23:27:56,38.3S,23.5E,26.5,20.7,-10.0,3.2,17.8,124000000000.0,0.37,2020,3,-38.3,23.5
133,2020-03-23 16:51:51,24.4S,67.9W,25.0,,,,,133000000000.0,0.39,2020,3,-24.4,-67.9
135,2020-03-04 20:25:59,53.3S,90.8E,24.3,19.8,-5.2,2.2,19.0,394000000000.0,1.0,2020,3,-53.3,90.8
136,2020-02-28 09:30:34,45.7N,15.1E,34.5,21.5,-18.2,-11.3,-2.1,115000000000.0,0.34,2020,2,45.7,15.1
137,2020-02-24 22:21:28,3.6N,96.0W,,,,,,20000000000.0,0.073,2020,2,3.6,-96.0
138,2020-02-10 23:48:17,28.2N,76.7E,41.7,31.7,-27.8,-14.3,-5.2,27000000000.0,0.095,2020,2,28.2,76.7
139,2020-01-27 05:39:15,30.4N,1.5E,32.5,19.8,-2.0,-16.6,-10.6,44000000000.0,0.15,2020,1,30.4,1.5
140,2020-01-24 11:13:31,28.0N,35.8W,32.0,21.2,-18.6,-9.0,-4.7,26000000000.0,0.092,2020,1,28.0,-35.8
141,2020-01-21 20:07:44,33.1N,34.3E,43.3,27.4,-7.5,-23.5,-11.9,28000000000.0,0.098,2020,1,33.1,34.3
142,2020-01-17 21:29:49,19.4N,66.0W,14.5,15.5,-13.2,8.1,1.2,97000000000.0,0.29,2020,1,19.4,-66.0
143,2020-01-16 09:31:42,71.7S,116.4W,27.8,12.9,9.8,-4.5,7.0,59000000000.0,0.19,2020,1,-71.7,-116.4
144,2020-01-15 06:31:39,23.7S,125.2W,31.5,,,,,196000000000.0,0.55,2020,1,-23.7,-125.2
145,2020-01-06 11:03:50,70.4S,17.5W,,,,,,45000000000.0,0.15,2020,1,-70.4,-17.5
146,2019-12-21 14:30:52,56.5N,147.6W,35.5,22.2,14.9,-8.1,-14.3,65000000000.0,0.21,2019,12,56.5,-147.6
147,2019-12-11 01:19:11,47.7N,161.7E,37.0,17.8,13.7,-10.9,-3.3,39000000000.0,0.13,2019,12,47.7,161.7
148,2019-12-06 10:19:57,3.3S,37.7W,19.5,,,,,46000000000.0,0.15,2019,12,-3.3,-37.7
149,2019-12-03 06:46:27,5.6N,52.2W,61.5,,,,,42000000000.0,0.14,2019,12,5.6,-52.2
150,2019-11-28 20:30:54,35.7N,31.7W,35.0,13.0,-11.6,-2.5,-5.4,27000000000.0,0.095,2019,11,35.7,-31.7
152,2019-11-28 11:55:02,22.1S,25.7E,22.5,24.7,-22.8,-5.5,7.6,25000000000.0,0.089,2019,11,-22.1,25.7
153,2019-11-05 11:24:51,10.4S,143.3W,38.0,27.4,5.2,12.3,23.9,110000000000.0,0.33,2019,11,-10.4,-143.3
154,2019-10-22 22:21:15,12.0N,76.0W,40.7,,,,,27000000000.0,0.095,2019,10,12.0,-76.0
155,2019-10-10 16:16:36,44.3N,122.9E,47.3,14.1,1.5,-12.9,-5.4,206000000000.0,0.57,2019,10,44.3,122.9
156,2019-09-28 10:40:20,12.5S,107.2W,52.0,20.4,-10.1,11.2,13.7,23000000000.0,0.082,2019,9,-12.5,-107.2
157,2019-09-27 13:35:46,25.7N,28.4W,,,,,,34000000000.0,0.12,2019,9,25.7,-28.4
158,2019-09-14 12:39:34,38.6S,33.5W,38.0,15.9,-12.9,8.1,4.6,109000000000.0,0.33,2019,9,-38.6,-33.5
159,2019-09-13 02:02:04,18.6S,126.9E,27.4,13.5,5.2,-8.1,9.5,42000000000.0,0.14,2019,9,-18.6,126.9
160,2019-09-12 12:49:48,54.5N,9.2E,42.0,18.5,-18.1,-0.4,3.7,169000000000.0,0.48,2019,9,54.5,9.2
161,2019-09-12 02:34:58,24.9N,47.8W,30.6,17.2,-11.7,11.7,4.6,59000000000.0,0.19,2019,9,24.9,-47.8
162,2019-08-24 12:02:59,21.9N,130.4W,39.8,13.4,11.1,-5.2,5.4,40000000000.0,0.13,2019,8,21.9,-130.4
163,2019-08-22 21:47:29,24.4S,92.9W,30.2,,,,,20000000000.0,0.073,2019,8,-24.4,-92.9
164,2019-08-16 20:36:05,38.9N,7.0E,36.0,14.9,-3.9,4.0,-13.8,25000000000.0,0.089,2019,8,38.9,7.0
165,2019-07-23 20:42:58,44.6N,147.6W,30.6,16.1,1.5,15.1,-5.5,255000000000.0,0.69,2019,7,44.6,-147.6
166,2019-06-30 16:52:58,21.2N,129.5W,59.0,42.3,25.2,31.2,-13.3,32000000000.0,0.11,2019,6,21.2,-129.5
167,2019-06-30 08:11:29,2.5S,168.7E,,,,,,21000000000.0,0.076,2019,6,-2.5,168.7
