,name,id,Type,group,mass (g),year,latitude,longitude,country,continent,range label,mass range
142,Bremervörde,5135,Chondrite,H/L3.9,7250.0,1855.0,53.4,9.1,Germany,Europe,4th_quantile,"(2700.0, 10322.0]"
143,Brient,5140,Achondrite,Eucrite-pmict,219.0,1933.0,52.13333,59.31667,Russian Federation,Europe,2nd_quantile,"(22.0, 682.0]"
144,Bruderheim,5156,Chondrite,L6,303000.0,1960.0,53.9,-112.88333,Canada,North America,6th_quantile,"(224800.0, 23000000.0]"
145,Bukhara,30448,Chondrite,CV3,5300.0,2001.0,39.77978,64.60035,Uzbekistan,Asia,4th_quantile,"(2700.0, 10322.0]"
146,Bulls Run,5163,Unclassified,Iron?,2250.0,1964.0,-29.09845,22.584989,South Africa,Africa,3rd_quantile,"(682.0, 2700.0]"
147,Bunburra Rockhole,48653,Achondrite,Eucrite,324.0,2007.0,-31.35,129.19,Australia,Oceania,2nd_quantile,"(22.0, 682.0]"
148,Bununu,5165,Achondrite,Howardite,357.0,1942.0,10.01667,9.58333,Nigeria,Africa,2nd_quantile,"(22.0, 682.0]"
149,Bur-Gheluai,5169,Chondrite,H5,120000.0,1919.0,5.0,48.0,Somalia,Africa,5th_quantile,"(10322.0, 224800.0]"
150,Burnwell,5175,Chondrite,H4-an,1504.0,1990.0,37.62194,-82.23722,United States,North America,3rd_quantile,"(682.0, 2700.0]"
151,Bursa,5177,Chondrite,L6,25000.0,1946.0,40.2,29.23333,Turkey,Asia,5th_quantile,"(10322.0, 224800.0]"
152,Buschhof,5178,Chondrite,L6,5000.0,1863.0,46.45,25.78333,Romania,Europe,4th_quantile,"(2700.0, 10322.0]"
153,Bustee,5181,Achondrite,Aubrite,1500.0,1852.0,26.78333,82.83333,India,Asia,3rd_quantile,"(682.0, 2700.0]"
154,Butsura,5183,Chondrite,H6,29000.0,1861.0,27.08333,84.08333,India,Asia,5th_quantile,"(10322.0, 224800.0]"
155,Buzzard Coulee,48654,Chondrite,H4,41000.0,2008.0,52.996,-109.84817,Canada,North America,5th_quantile,"(10322.0, 224800.0]"
156,Cabezo de Mayo,5185,Chondrite,L/LL6,25000.0,1870.0,37.98333,-1.16667,Spain,Europe,5th_quantile,"(10322.0, 224800.0]"
157,Cabin Creek,5186,Achondrite,"Iron, IIIAB",48500.0,1886.0,35.5,-93.5,United States,North America,5th_quantile,"(10322.0, 224800.0]"
158,Cacak,5187,Chondrite,OC,212.0,1919.0,43.83889,20.33333,Serbia,Europe,2nd_quantile,"(22.0, 682.0]"
159,Cali,45976,Chondrite,H/L4,478.0,2007.0,3.405,-76.51,Colombia,South America,2nd_quantile,"(22.0, 682.0]"
160,Calivo,5200,Unclassified,Stone-uncl,2400.0,1916.0,11.75,122.33333,Philippines,Asia,3rd_quantile,"(682.0, 2700.0]"
161,Campos Sales,5249,Chondrite,L5,23680.0,1991.0,-7.03333,-40.16667,Brazil,South America,5th_quantile,"(10322.0, 224800.0]"
162,Çanakkale,5250,Chondrite,L6,4000.0,1964.0,39.8,26.6,Turkey,Asia,4th_quantile,"(2700.0, 10322.0]"
163,Cañellas,5251,Chondrite,H4,945.0,1861.0,41.25,1.66667,Spain,Europe,3rd_quantile,"(682.0, 2700.0]"
164,Cangas de Onis,5252,Chondrite,H5,34000.0,1866.0,43.38333,-5.15,Spain,Europe,5th_quantile,"(10322.0, 224800.0]"
165,Canon City,5253,Chondrite,H6,1400.0,1973.0,38.47028,-105.24139,United States,North America,3rd_quantile,"(682.0, 2700.0]"
166,Cape Girardeau,5260,Chondrite,H6,2300.0,1846.0,37.26667,-89.58333,United States,North America,3rd_quantile,"(682.0, 2700.0]"
167,Capilla del Monte,5264,Chondrite,H6,750.0,1934.0,-30.88333,-64.55,Argentina,South America,3rd_quantile,"(682.0, 2700.0]"
168,Carancas,45817,Chondrite,H4-5,342.0,2007.0,-16.66444,-69.04389,Peru,South America,2nd_quantile,"(22.0, 682.0]"
169,Caratash,5265,Chondrite,LL6,8.0,1902.0,38.5,27.0,Turkey,Asia,1st_quantile,"(0.099, 22.0]"
170,Castalia,5291,Chondrite,H5,7300.0,1874.0,36.08333,-78.06667,United States,North America,4th_quantile,"(2700.0, 10322.0]"
172,Castine,5293,Chondrite,L6,94.0,1848.0,44.38333,-68.75,United States,North America,2nd_quantile,"(22.0, 682.0]"
175,Ceniceros,5306,Chondrite,L3.7,1025.0,1988.0,26.46667,-105.23333,Mexico,North America,3rd_quantile,"(682.0, 2700.0]"
176,Centerville,5307,Chondrite,H5,45.6,1956.0,43.2,-96.91667,United States,North America,2nd_quantile,"(22.0, 682.0]"
177,Cereseto,5308,Chondrite,H5,6460.0,1840.0,45.08333,8.3,Italy,Europe,4th_quantile,"(2700.0, 10322.0]"
178,Chadong,5313,Chondrite,L6,3700.0,1998.0,28.53333,109.31667,China,Asia,4th_quantile,"(2700.0, 10322.0]"
180,Chainpur,5315,Chondrite,LL3.4,8200.0,1907.0,25.85,83.48333,India,Asia,4th_quantile,"(2700.0, 10322.0]"
181,Chajari,5316,Chondrite,L5,18300.0,1933.0,-30.78333,-58.05,Argentina,South America,5th_quantile,"(10322.0, 224800.0]"
182,Chandakapur,5320,Chondrite,L5,8800.0,1838.0,20.26667,76.01667,India,Asia,4th_quantile,"(2700.0, 10322.0]"
183,Chandpur,5321,Chondrite,L6,1100.0,1885.0,27.28333,79.05,India,Asia,3rd_quantile,"(682.0, 2700.0]"
184,Changde,5322,Chondrite,H5,1810.0,1977.0,29.08333,111.75,China,Asia,3rd_quantile,"(682.0, 2700.0]"
186,Charlotte,5328,Achondrite,"Iron, IVA",4300.0,1835.0,36.16667,-87.33333,United States,North America,4th_quantile,"(2700.0, 10322.0]"
188,Charwallas,5330,Chondrite,H6,12000.0,1834.0,29.48333,75.5,India,Asia,5th_quantile,"(10322.0, 224800.0]"
190,Château-Renard,5332,Chondrite,L6,30000.0,1841.0,47.93333,2.91667,France,Europe,5th_quantile,"(10322.0, 224800.0]"
191,Chaves,5334,Achondrite,Howardite,2945.0,1925.0,41.93333,-7.46667,Spain,Europe,4th_quantile,"(2700.0, 10322.0]"
192,Chela,5338,Chondrite,H4,2936.0,1988.0,-3.66667,32.5,"Tanzania, United Republic of",Africa,4th_quantile,"(2700.0, 10322.0]"
193,Chelyabinsk,57165,Chondrite,LL5,1000000.0,2013.0,54.81667,61.11667,Russian Federation,Europe,6th_quantile,"(224800.0, 23000000.0]"
194,Chergach ,47347,Chondrite,H5,100000.0,2007.0,23.69639,-5.01472,Mali,Africa,5th_quantile,"(10322.0, 224800.0]"
